Participant,Age,Sex,Handedness,Condition,Cue,SOA,Resp,RT,Q1.Awareness,Q2.PAS,Q3.Surprise,MergedConds,MainConds,outlier
1,22,female,right,8,No,-83,8,1676,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA83_NoCue_1Vert,NoCue,NO
1,22,female,right,27,Left,-17,2,865,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA17_Incongr_1Vert,Vert1st,NO
1,22,female,right,17,No,83,2,1348,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA83_NoCue_1Horiz,NoCue,NO
1,22,female,right,31,Right,-83,8,804,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA83_Incongr_1Vert,Vert1st,NO
1,22,female,right,32,Right,-17,2,1405,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA17_Incongr_1Vert,Vert1st,NO
1,22,female,right,3,No,83,2,555,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA83_NoCue_1Horiz,NoCue,NO
1,22,female,right,26,Left,-83,2,875,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA83_Incongr_1Vert,Vert1st,NO
1,22,female,right,5,No,0,8,1505,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA0_NoCue_NoBias,NoCue,NO
1,22,female,right,34,Left,217,2,1958,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA217_Incongr_1Horiz,Horiz1st,NO
1,22,female,right,26,Left,-83,8,1166,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA83_Incongr_1Vert,Vert1st,NO
1,22,female,right,31,Right,-83,2,1349,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA83_Incongr_1Vert,Vert1st,NO
1,22,female,right,29,Right,-217,8,416,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA217_Incongr_1Vert,Vert1st,NO
1,22,female,right,20,Right,150,2,466,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA150_Incongr_1Horiz,Horiz1st,NO
1,22,female,right,37,Left,17,8,679,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA17_Incongr_1Horiz,Horiz1st,NO
1,22,female,right,34,Left,217,2,765,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA217_Incongr_1Horiz,Horiz1st,NO
1,22,female,right,22,Right,17,8,615,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA17_Incongr_1Horiz,Horiz1st,NO
1,22,female,right,31,Right,-83,2,1668,"voor{SPACE}de{SPACE}lijnen{SPACE}tevoorschijn{SPACE}kwamen{,}{SPACE}was{SPACE}er{SPACE}soms{SPACE}nog{SPACE}een{SPACE}soort{SPACE}extra{SPACE}beeld{,}{SPACE}alsof{SPACE}het{SPACE}kader{SPACE}versprong{.}{SPACE}dit{SPACE}gaf{SPACE}de{SPACE}indruk{SPACE}dat{SPACE}daar{SPACE}eerst{SPACE}lijnen{SPACE}zouden{SPACE}komen{,}{SPACE}wat{SPACE}in{SPACE}sommige{SPACE}gevallen{SPACE}niet{SPACE}waar{SPACE}was{.}{ENTER}",1,4,SOA83_Incongr_1Vert,Vert1st,NO
